dataset,model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,brier_mean,brier_std,ece_mean,ece_std,search_time_mean,fit_time_mean
GesturePhaseSegmentationProcessed,Extra Trees,0.7030886075949366,0.002044215619056802,0.661915282989095,0.0054084113494446045,0.44471432011251755,0.004415738536503333,0.1538008438818565,0.002945486421586791,4.177457716804929,0.5070741751696914
GesturePhaseSegmentationProcessed,HistGradientBoosting,0.6630886075949367,0.008010568247837404,0.6178382143457511,0.009731627235726192,0.4593326416142343,0.0022062157223527203,0.025690702924785702,0.003433635067988091,50.092129091592504,5.80072061677929
GesturePhaseSegmentationProcessed,Logistic Regression,0.44962025316455695,0.006283379061261207,0.4102678577065787,0.004065571166012147,0.7011433243170261,0.004556967369569367,0.10401587954878051,0.010095911282373051,0.4800863668322563,0.03553379976656284
GesturePhaseSegmentationProcessed,MLP,0.5862278481012658,0.011341094012276304,0.5377072637354282,0.012032795959311412,0.6626687024641397,0.01363381701033514,0.2406912547461114,0.019703012730099206,52.836544641386716,7.623961833375506
GesturePhaseSegmentationProcessed,Random Forest,0.6678481012658228,0.007311153963642347,0.6138546170211353,0.011185241575184334,0.4800218116541114,0.0022984206137117973,0.13757140580389873,0.0087598538663533,13.485186966788024,0.8122990833828225
balance-scale,Extra Trees,0.8544,0.031698580409854314,0.603735882055278,0.010888878989724281,0.23019934069619005,0.017882290981168097,0.10735689245569247,0.01758704644010622,1.9791093502193688,0.1129926999798044
balance-scale,HistGradientBoosting,0.8496,0.01734358671094305,0.6263611937845145,0.019912619944556113,0.2116955488556645,0.02469994773682745,0.07108121100407928,0.013372994455528866,12.457792125013658,1.2041931333951652
balance-scale,Logistic Regression,0.8768,0.040239284287869756,0.7875780008634846,0.06792788020820976,0.2245303088969651,0.11347047171706555,0.0986350612099037,0.11810535994576915,0.05574191682972007,0.00275882519781584
balance-scale,MLP,0.9696,0.010430723848324254,0.9337683038180158,0.02655099498041301,0.03960787962314906,0.007136923741115419,0.02793099642203628,0.00904097138062139,2.7278756751911715,0.26964401642326263
balance-scale,Random Forest,0.8720000000000001,0.011313708498984776,0.6108197603637391,0.010807348035072394,0.2234241391421694,0.018697093185277586,0.10318839582639579,0.005697749910036559,2.4172246749978514,0.14605703339911993
banknote-authentication,Extra Trees,0.9992727272727272,0.0016262312563634488,0.9992639678822348,0.0016458178489459363,0.00461860202020196,0.002181601437344913,0.0159272727272727,0.002259086336194354,2.0751581165939568,0.12404954179655758
banknote-authentication,HistGradientBoosting,0.994909090909091,0.00487869376909041,0.9948403097860197,0.004941635637496462,0.008195621959049756,0.0071305159421718054,0.00649032614183386,0.003925370489802466,6.893251424771734,0.4797102163778618
banknote-authentication,Logistic Regression,0.986909090909091,0.0060848001929751615,0.9867449939644535,0.006154773851233306,0.01732754814819042,0.007353738126617392,0.013484069552349981,0.004266284453118045,0.055658966396003914,0.00271904200781132
banknote-authentication,MLP,1.0,0.0,1.0,0.0,0.00013807628914160505,0.00011625814313442896,0.00151072109537622,0.0003879448741164701,2.468989899987355,0.12582844996359197
banknote-authentication,Random Forest,0.9890909090909092,0.003636363636363624,0.9889580881292247,0.003683188886022917,0.015176016161616141,0.003225325851438007,0.021629090909090883,0.004554928309076459,2.6016871165949853,0.16488670003600414
blood-transfusion-service-center,Extra Trees,0.7666666666666667,0.02666666666666666,0.6062989454144423,0.029469444356041857,0.34297505135175366,0.036726711114431154,0.08700431934240938,0.02631689085519614,1.8660416166065261,0.11278458321467037
blood-transfusion-service-center,HistGradientBoosting,0.76,0.028674417556808746,0.6134517614269507,0.025213112083754947,0.3344301135973379,0.02924944734342849,0.09799677122016436,0.030418770400801126,5.279576966608874,0.4870179166318849
blood-transfusion-service-center,Logistic Regression,0.6546666666666667,0.03783002922429631,0.6231781213266091,0.03477161459034329,0.41330849997997665,0.026013379547197926,0.0812357583064598,0.02058514706408349,0.050633875140920215,0.00208075814880426
blood-transfusion-service-center,MLP,0.8,0.02494438257849293,0.674375912038806,0.044174524119430965,0.3012896006402553,0.023123371141045176,0.08392087197269507,0.011002506267932264,2.6689657498383896,0.3217564332298934
blood-transfusion-service-center,Random Forest,0.7533333333333333,0.03887301263230201,0.606594862629825,0.04978115457709789,0.3386689638319207,0.033808214032191225,0.09214816482565266,0.017744049548361663,2.342520625004545,0.16576648298650978
climate-model-simulation-crashes,Extra Trees,0.9351851851851853,0.013094570021972993,0.6677790052953014,0.09549257375152798,0.08633795001854774,0.01597724969510055,0.05738696053603456,0.015633808056001914,1.8264849919825792,0.10418004160746927
climate-model-simulation-crashes,HistGradientBoosting,0.9481481481481481,0.024145194093343095,0.7867962561901027,0.10435139588316782,0.07334958947809381,0.03517428704267555,0.03517563642563944,0.009980016042955519,3.9954807583941148,0.3272921498166397
climate-model-simulation-crashes,Logistic Regression,0.95,0.01549370419507537,0.8179162896836141,0.07198132823477583,0.07052198077874876,0.02104635483035544,0.03167975023004936,0.007674386130670054,0.05186295022722328,0.0022723081987350803
climate-model-simulation-crashes,MLP,0.9555555555555554,0.004140866624999568,0.814750267942625,0.026638644379330414,0.07083563081880903,0.009563594664592964,0.03697465012852844,0.008285807735678144,1.7851592497900128,0.20155581664294
climate-model-simulation-crashes,Random Forest,0.9388888888888889,0.008281733249999158,0.6902419776598991,0.06849156330176938,0.09009099017056597,0.018016037404713012,0.057395414042945306,0.007192549963663699,2.101638391776942,0.13713134180288758
diabetes,Extra Trees,0.764935064935065,0.02845311987039825,0.7295814109688807,0.033878519492412176,0.3237823775044626,0.028673755682013243,0.07317947536201068,0.013530723859369063,1.9083788417978211,0.115679458156228
diabetes,HistGradientBoosting,0.7688311688311689,0.04465908795856992,0.7429388361152481,0.046561845725779184,0.33495363627949215,0.0602974425702642,0.08613770326550511,0.04457550587003855,5.7227104667807,0.47686504998710005
diabetes,Logistic Regression,0.7727272727272727,0.017783199918998894,0.7426285879579151,0.024247851233969702,0.31707958440944256,0.015256981999891936,0.07162053849733667,0.014839174104326582,0.05146265819203102,0.00216914177872236
diabetes,MLP,0.7623376623376623,0.019802533353216824,0.7379261619770183,0.02573908659794819,0.33445052093822875,0.030106666853419152,0.08853759927022452,0.02046871676104115,4.107985216821544,0.30510906658601017
diabetes,Random Forest,0.7740259740259741,0.02124081458934564,0.7455672306895489,0.02631663268163983,0.3216628917936051,0.02897177522396118,0.069241320265367,0.020406102692203283,2.3666228249669077,0.16475400000344959
