dataset,Extra Trees,HistGradientBoosting,Logistic Regression,MLP,Random Forest
GesturePhaseSegmentationProcessed,0.661915282989095,0.6178382143457511,0.4102678577065787,0.5377072637354282,0.6138546170211353
balance-scale,0.603735882055278,0.6263611937845145,0.7875780008634846,0.9337683038180158,0.6108197603637391
banknote-authentication,0.9992639678822348,0.9948403097860197,0.9867449939644535,1.0,0.9889580881292247
blood-transfusion-service-center,0.6062989454144423,0.6134517614269507,0.6231781213266091,0.674375912038806,0.606594862629825
climate-model-simulation-crashes,0.6677790052953014,0.7867962561901027,0.8179162896836141,0.814750267942625,0.6902419776598991
diabetes,0.7295814109688807,0.7429388361152481,0.7426285879579151,0.7379261619770183,0.7455672306895489
first-order-theorem-proving,0.5134696961251124,0.5032633078238085,0.34787055149147134,0.450479133022213,0.5129449066250791
kc1,0.6705369592623669,0.674725875428564,0.6333754482767355,0.6653773445880061,0.6525993107852562
kc2,0.7196910867019347,0.7187100446617262,0.708291628251734,0.694964352476729,0.7203215114093077
mfeat-morphological,0.7110674741321739,0.7232436814081662,0.750063101299237,0.7449010058202297,0.7099437804030613
mfeat-zernike,0.7893046321569243,0.791926989423289,0.8179109694326627,0.810630634055624,0.7766405828655767
pc1,0.6606793099697794,0.6836343882301423,0.585277820258934,0.6412355184354297,0.6637993445958605
pc3,0.6105128897409051,0.580303347621605,0.6224036213878179,0.6317563710189918,0.5610373887041964
pc4,0.7480263276677617,0.7614218131249829,0.7224496958482552,0.7786350268247235,0.716481728877868
pendigits,0.9951046984351903,0.9938089481440617,0.9520184610467792,0.9943510186646819,0.9925147260932847
phoneme,0.893799884863148,0.8640470752504689,0.7024939826180623,0.8548364135412918,0.8878139633884514
qsar-biodeg,0.8546076046973479,0.8409623229319889,0.8608236022942289,0.8792185463553699,0.8574259106264194
satimage,0.9090188659188693,0.910816817441767,0.8416419739373691,0.9015337498469661,0.9059997790768536
segment,0.9400568233995387,0.9317245097609114,0.8903866313067648,0.9268997931530801,0.9278317363014402
spambase,0.9541249661215169,0.9510713724156222,0.9224374363184478,0.9422113472338486,0.9517137566111484
steel-plates-fault,0.808460519755425,0.8258959999762098,0.7236412861512314,0.7841666157457123,0.8123193761441397
vehicle,0.7413664682153955,0.7636912904521362,0.7998314059002136,0.8393574594546026,0.7383114461295077
wall-robot-navigation,0.9719242536660685,0.9958402318738051,0.656238352110593,0.9289050175662459,0.995552064068115
wdbc,0.9603010412805817,0.9543500701025985,0.9733555913990113,0.9659122778810396,0.9548024899684275
wilt,0.9085793915803491,0.9288406412663166,0.8113188902413251,0.9492509964299736,0.9072832625977162
